Structure [idcode]	Molecule Name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Polar Surface Area	Mutagenic	Tumorigenic	Irritant	Non-H Atoms	Stereo Centers	Rotatable Bonds	Smiles	InChI	InChI-Key	
efsvJD@LBOL`|~DakoP@aLHrQQ[SQIPjJJZJIKJISIQIYJGRjIXTFVMSDrbvzneutsL@ETuUUTD@@@DCTuD@dQPiMRY@@	1qbr	758.922	6.8511	-7.956	11	4	562.47	204.47	none	none	none	54	4	12	O[C@@H]([C@@H](Cc1ccccc1)N(Cc1cc(C(Nc2nccs2)=O)ccc1)C(N(Cc1cccc(C(Nc2nccs2)=O)c1)[C@@H]1Cc2ccccc2)=O)[C@H]1O	InChI=1S/C41H38N6O5S2/c48-35-33(23-27-9-3-1-4-10-27)46(25-29-13-7-15-31(21-29)37(50)44-39-42-17-19-53-39)41(52)47(34(36(35)49)24-28-11-5-2-6-12-28)26-30-14-8-16-32(22-30)38(51)45-40-43-18-20-54-40/h1-22,33-36,48-49H,23-26H2,(H,42,44,50)(H,43,45,51)/t33-,34+,35+,36-	JDALSSGOBMTZEP-IYMPVJEUSA-N	
efY\JD@LLfhDKIbP@bHHrRPqQIIQQPpiHqSQIIZFIUM@xhtkUAPUTUUL@@A@`aIGH@@	2qi6	553.702	3.7335	-4.037	8	3	406.17	156.45	low	high	none	38	2	10	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(c1cc(O)ccc1)=O)O)S(c(cc1)cc2c1ncs2)(=O)=O	InChI=1S/C28H31N3O5S2/c1-19(2)16-31(38(35,36)23-11-12-24-27(15-23)37-18-29-24)17-26(33)25(13-20-7-4-3-5-8-20)30-28(34)21-9-6-10-22(32)14-21/h3-12,14-15,18-19,25-26,32-33H,13,16-17H2,1-2H3,(H,30,34)/t25-,26+/m0/s1	MQZZULHKSPXDHA-IZZNHLLZSA-N	
fluHP@DTyhChirJIQIEQJKIgARmyjejjjjXbdYVgh@	1g2o	266.256	-2.7096	-0.658	8	6	184.07	129.97	none	none	none	19	4	2	OC[C@H]([C@H]([C@H]1O)O)N[C@H]1c1c[nH]c2c1N=CNC2=O	InChI=1S/C11H14N4O4/c16-2-5-9(17)10(18)7(15-5)4-1-12-8-6(4)13-3-14-11(8)19/h1,3,5,7,9-10,12,15-18H,2H2,(H,13,14,19)/t5-,7-,9-,10-/m0/s1	IWKXDMQDITUYRK-YNAXYJCJSA-N	
efY\NH@LDbhDKNalRP@cIICEDdeEDXTmELdhmEdYE\CCbSRmTEAUEULDEEUAUDd\fr^dL@@	2f81	547.671	2.237	-3.96	10	3	401.06	148.8	none	none	none	38	5	11	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(O[C@@H]1[C@H](CCO2)[C@H]2OC1)=O)O)S(c(cc1)ccc1N)(=O)=O	InChI=1S/C27H37N3O7S/c1-18(2)15-30(38(33,34)21-10-8-20(28)9-11-21)16-24(31)23(14-19-6-4-3-5-7-19)29-27(32)37-25-17-36-26-22(25)12-13-35-26/h3-11,18,22-26,31H,12-17,28H2,1-2H3,(H,29,32)/t22-,23-,24+,25-,26-/m0/s1	CJBJHOAVZSMMDJ-BONDPLATSA-N	
fmwpPDDXHAPQx{HhhdhlmDbhdieF\MZkVjdDBj@Bj`@@	1n46	366.396	3.6114	-5.58	7	1	267.97	79.2	none	none	none	27	0	4	CC(C)c(cc(cc1)Oc(c(C)c2)c(C)cc2N(C([N-]2)=O)N=CC2=O)c1O	InChI=1S/C20H21N3O4/c1-11(2)16-9-15(5-6-17(16)24)27-19-12(3)7-14(8-13(19)4)23-20(26)22-18(25)10-21-23/h5-11H,1-4H3,(H2,22,24,25,26)/p-1	AGEHHUWYIALGTE-UHFFFAOYSA-M	
fcpADAZLBPIHBgHhhldeBhihhddlsbm]WO\D@@UU@@@@ABr@@	5std	376.429	3.3706	-6.288	3	2	275.35	39.06	none	none	none	28	1	5	C[C@@H](C(c1ccccc1)c1ccccc1)Nc1c(cc(c(F)c2)F)c2[nH+]cn1	InChI=1S/C23H19F2N3/c1-15(22(16-8-4-2-5-9-16)17-10-6-3-7-11-17)28-23-18-12-19(24)20(25)13-21(18)26-14-27-23/h2-15,22H,1H3,(H,26,27,28)/p+1/t15-/m0/s1	WVGZKPGUHOZIJQ-HNNXBMFYSA-O	
enU\JD@LLnhDKEjP@bHHrRPqQIIQQPqYIVJZIIKPqIkjDgEeZhJBjbjjX@@BACBRJIr@@	2qi4	567.729	4.1879	-4.307	8	3	419.93	156.45	low	high	none	39	3	11	CC[C@H](C)CN(C[C@H]([C@H](Cc1ccccc1)NC(c1cc(O)ccc1)=O)O)S(c(cc1)cc2c1ncs2)(=O)=O	InChI=1S/C29H33N3O5S2/c1-3-20(2)17-32(39(36,37)24-12-13-25-28(16-24)38-19-30-25)18-27(34)26(14-21-8-5-4-6-9-21)31-29(35)22-10-7-11-23(33)15-22/h4-13,15-16,19-20,26-27,33-34H,3,14,17-18H2,1-2H3,(H,31,35)/t20-,26-,27+/m0/s1	OIOKJSPMDFSKEA-SQMFLSJESA-N	
eiS\JH@FEHiMGEnP@cIEHdUEMhmEDeDhhkDmDmLFIgdVZQZjjYjj`ha`@@`b@ppQd|`@	1kzk	575.728	4.3462	-5.669	8	4	434.17	144.27	none	none	none	41	3	9	CC(C)([C@H]1C(NCc2c(C)cccc2)=O)SCN1C([C@H]([C@H](Cc1ccccc1)NC(c1c(C)c(O)ccc1)=O)O)=O	InChI=1S/C32H37N3O5S/c1-20-11-8-9-14-23(20)18-33-30(39)28-32(3,4)41-19-35(28)31(40)27(37)25(17-22-12-6-5-7-13-22)34-29(38)24-15-10-16-26(36)21(24)2/h5-16,25,27-28,36-37H,17-19H2,1-4H3,(H,33,39)(H,34,38)/t25-,27-,28-/m0/s1	CUFQBQOBLVLKRF-MYKRZTLLSA-N	
ee{qF@@DLEKKaXzpCFibP|bbbVbbbbVNfbtTtRRVbabRTVcbtRTVPNNoh|{UUPMPQUUAPTLEATMT@@@ppddTndmJX@@	1hvs	794.995	2.777	-5.174	14	6	628.8	189.12	none	none	none	58	6	19	CC(C)[C@@H](C(N[C@@H](Cc1ccccc1)[C@H]([C@H]([C@H](Cc1ccccc1)NC([C@H](C(C)C)NC(N(C)Cc1ncccc1)=O)=O)O)O)=O)NC(N(C)Cc1ncccc1)=O	InChI=1S/C44H58N8O6/c1-29(2)37(49-43(57)51(5)27-33-21-13-15-23-45-33)41(55)47-35(25-31-17-9-7-10-18-31)39(53)40(54)36(26-32-19-11-8-12-20-32)48-42(56)38(30(3)4)50-44(58)52(6)28-34-22-14-16-24-46-34/h7-24,29-30,35-40,53-54H,25-28H2,1-6H3,(H,47,55)(H,48,56)(H,49,57)(H,50,58)/t35-,36-,37-,38-,39-,40+/m0/s1	QPVWMQXBTCSLCB-BYAJYZPISA-N	
e`zrJ@@DJCM`@bee\bbTTbbjVbrbbRbRrbRbQbbrie`trNOIhnkokUUUUUUMTtD@T@T@PDTXQrYKzTh@	1c70	652.833	4.3522	-5.301	9	4	501.56	118.28	none	none	none	48	5	12	CC(C)(C)NC([C@H]1N(C[C@H](C[C@@H](Cc2ccccc2)C(N[C@H]([C@@H](C2)O)c3c2cccc3)=O)O)CCN(Cc2cc(cccc3)c3o2)C1)=O	InChI=1S/C39H48N4O5/c1-39(2,3)41-38(47)33-25-42(24-31-21-28-14-8-10-16-35(28)48-31)17-18-43(33)23-30(44)20-29(19-26-11-5-4-6-12-26)37(46)40-36-32-15-9-7-13-27(32)22-34(36)45/h4-16,21,29-30,33-34,36,44-45H,17-20,22-25H2,1-3H3,(H,40,46)(H,41,47)/t29-,30+,33+,34-,36+/m1/s1	AOMZDQMIOCTPQP-QHQMVRJISA-N	
efsvJD@LBOL`|~DakoP@aLHrQQ[SQIPjJJZJIKJISIQIYJGRjIXTFVMSDrbvzneutsL@ETuUUTD@@@DCTuD@dQPiMRY@@	1bv7	758.922	6.8511	-7.956	11	4	562.47	204.47	none	none	none	54	4	12	O[C@@H]([C@@H](Cc1ccccc1)N(Cc1cc(C(Nc2nccs2)=O)ccc1)C(N(Cc1cccc(C(Nc2nccs2)=O)c1)[C@@H]1Cc2ccccc2)=O)[C@H]1O	InChI=1S/C41H38N6O5S2/c48-35-33(23-27-9-3-1-4-10-27)46(25-29-13-7-15-31(21-29)37(50)44-39-42-17-19-53-39)41(52)47(34(36(35)49)24-28-11-5-2-6-12-28)26-30-14-8-16-32(22-30)38(51)45-40-43-18-20-54-40/h1-22,33-36,48-49H,23-26H2,(H,42,44,50)(H,43,45,51)/t33-,34+,35+,36-	JDALSSGOBMTZEP-IYMPVJEUSA-N	
emPrBH@LBOLnDak`@cIEEmMDeBhhihhdlheLeCelJCKFihTR^YUZYf@BjZjjjBh@@HhBHhTfiL`@	1qbu	596.750	5.3846	-6.204	8	3	445.56	134.24	none	none	none	43	4	10	O[C@@H]([C@@H](Cc1ccccc1)N(CC1CC1)C(N(Cc1cccc(C(Nc2nccs2)=O)c1)[C@@H]1Cc2ccccc2)=O)[C@H]1O	InChI=1S/C34H36N4O4S/c39-30-28(19-23-8-3-1-4-9-23)37(21-25-14-15-25)34(42)38(29(31(30)40)20-24-10-5-2-6-11-24)22-26-12-7-13-27(18-26)32(41)36-33-35-16-17-43-33/h1-13,16-18,25,28-31,39-40H,14-15,19-22H2,(H,35,36,41)/t28-,29+,30+,31-/m0/s1	HFLCERPZYCWLSZ-KQFVITFDSA-N	
ejVTFH@LDhDKJidP@cIICEDdeEDXleeEBdehSHohUj`hJhjjfBBF`pdbb\`@	2qi7	532.700	3.83	-3.956	8	2	418.07	121.39	none	none	high	37	3	15	CC[C@H](C)CN(C[C@H]([C@H](Cc1ccccc1)NC(CCC(CC)=O)=O)O)S(c(cc1)ccc1OC)(=O)=O	InChI=1S/C28H40N2O6S/c1-5-21(3)19-30(37(34,35)25-15-13-24(36-4)14-16-25)20-27(32)26(18-22-10-8-7-9-11-22)29-28(33)17-12-23(31)6-2/h7-11,13-16,21,26-27,32H,5-6,12,17-20H2,1-4H3,(H,29,33)/t21-,26-,27+/m0/s1	JJMPZKDTRWEIEO-NJTBCWBZSA-N	
ej^\JD@LLnhDKEg`@bHHrRPqQIIQQPqYIVJZIZHqIkjDeZhJBjbjjXJB`PbRJIr[P@	2qi3	547.739	3.1951	-3.734	8	3	409.69	156.45	low	high	none	37	4	12	CC[C@H](C)CN(C[C@H]([C@H](Cc1ccccc1)NC([C@H](C(C)C)O)=O)O)S(c(cc1)cc2c1ncs2)(=O)=O	InChI=1S/C27H37N3O5S2/c1-5-19(4)15-30(37(34,35)21-11-12-22-25(14-21)36-17-28-22)16-24(31)23(13-20-9-7-6-8-10-20)29-27(33)26(32)18(2)3/h6-12,14,17-19,23-24,26,31-32H,5,13,15-16H2,1-4H3,(H,29,33)/t19-,23-,24+,26-/m0/s1	FGPQFSNHIAFDDH-VSTDWJMWSA-N	
fbmhbDBV|gOE@BBReOKNwJzpSoQSUUURDATDqJQbD`@	1y6r	296.374	-1.2999	-1.921	7	5	203.92	149.96	none	none	none	20	4	3	CSC[C@H]([C@H]([C@H]1O)O)[NH2+][C@H]1c1c[nH]c2c(N)ncnc12	InChI=1S/C12H17N5O2S/c1-20-3-6-10(18)11(19)8(17-6)5-2-14-9-7(5)15-4-16-12(9)13/h2,4,6,8,10-11,14,17-19H,3H2,1H3,(H2,13,15,16)/p+1/t6-,8-,10-,11-/m1/s1	PLIGEAXYYNDCDB-SSQAQTMGSA-O	
edVZB@@DFMNa`FcklbbbbbTRQbVRbUbTRwBfegfUTwtKURET@PCQTuTa@@@	2p16	459.505	1.6048	-4.317	9	1	340.93	110.76	high	high	none	34	0	5	COc(cc1)ccc1-n1nc(C(N)=O)c(CCN2c(cc3)ccc3N(CCCC3)C3=O)c1C2=O	InChI=1S/C25H25N5O4/c1-34-19-11-9-18(10-12-19)30-23-20(22(27-30)24(26)32)13-15-29(25(23)33)17-7-5-16(6-8-17)28-14-3-2-4-21(28)31/h5-12H,2-4,13-15H2,1H3,(H2,26,32)	QNZCBYKSOIHPEH-UHFFFAOYSA-N	
